Pokemon,Type,Stat,Score
Milcery,Fairy,hp,45
Milcery,Fairy,attack,40
Milcery,Fairy,defense,40
Milcery,Fairy,sp_attack,50
Milcery,Fairy,sp_defense,61
Milcery,Fairy,speed,34
Runerigus,Ground,hp,58
Runerigus,Ground,attack,95
Runerigus,Ground,defense,145
Runerigus,Ground,sp_attack,50
Runerigus,Ground,sp_defense,105
Runerigus,Ground,speed,30
Mr. Rime,Psychic,hp,80
Mr. Rime,Psychic,attack,85
Mr. Rime,Psychic,defense,75
Mr. Rime,Psychic,sp_attack,110
Mr. Rime,Psychic,sp_defense,100
Mr. Rime,Psychic,speed,70
Sirfetch'd,Fighting,hp,62
Sirfetch'd,Fighting,attack,135
Sirfetch'd,Fighting,defense,95
Sirfetch'd,Fighting,sp_attack,68
Sirfetch'd,Fighting,sp_defense,82
Sirfetch'd,Fighting,speed,65
Cursola,Ghost,hp,60
Cursola,Ghost,attack,95
Cursola,Ghost,defense,50
Cursola,Ghost,sp_attack,145
Cursola,Ghost,sp_defense,130
Cursola,Ghost,speed,30
Perrserker,Steel,hp,70
Perrserker,Steel,attack,110
Perrserker,Steel,defense,100
Perrserker,Steel,sp_attack,50
Perrserker,Steel,sp_defense,60
Perrserker,Steel,speed,50
Obstagoon,Dark,hp,93
Obstagoon,Dark,attack,90
Obstagoon,Dark,defense,101
Obstagoon,Dark,sp_attack,60
Obstagoon,Dark,sp_defense,81
Obstagoon,Dark,speed,95
Grimmsnarl,Dark,hp,95
Grimmsnarl,Dark,attack,120
Grimmsnarl,Dark,defense,65
Grimmsnarl,Dark,sp_attack,95
Grimmsnarl,Dark,sp_defense,75
Grimmsnarl,Dark,speed,60
Morgrem,Dark,hp,65
Morgrem,Dark,attack,60
Morgrem,Dark,defense,45
Morgrem,Dark,sp_attack,75
Morgrem,Dark,sp_defense,55
Morgrem,Dark,speed,70
Impidimp,Dark,hp,45
Impidimp,Dark,attack,45
Impidimp,Dark,defense,30
Impidimp,Dark,sp_attack,55
Impidimp,Dark,sp_defense,40
Impidimp,Dark,speed,50
Hatterene,Psychic,hp,57
Hatterene,Psychic,attack,90
Hatterene,Psychic,defense,95
Hatterene,Psychic,sp_attack,136
Hatterene,Psychic,sp_defense,103
Hatterene,Psychic,speed,29
Hattrem,Psychic,hp,57
Hattrem,Psychic,attack,40
Hattrem,Psychic,defense,65
Hattrem,Psychic,sp_attack,86
Hattrem,Psychic,sp_defense,73
Hattrem,Psychic,speed,49
Hatenna,Psychic,hp,42
Hatenna,Psychic,attack,30
Hatenna,Psychic,defense,45
Hatenna,Psychic,sp_attack,56
Hatenna,Psychic,sp_defense,53
Hatenna,Psychic,speed,39
Polteageist,Ghost,hp,60
Polteageist,Ghost,attack,65
Polteageist,Ghost,defense,65
Polteageist,Ghost,sp_attack,134
Polteageist,Ghost,sp_defense,114
Polteageist,Ghost,speed,70
Sinistea,Ghost,hp,40
Sinistea,Ghost,attack,45
Sinistea,Ghost,defense,45
Sinistea,Ghost,sp_attack,74
Sinistea,Ghost,sp_defense,54
Sinistea,Ghost,speed,50
Grapploct,Fighting,hp,80
Grapploct,Fighting,attack,118
Grapploct,Fighting,defense,90
Grapploct,Fighting,sp_attack,70
Grapploct,Fighting,sp_defense,80
Grapploct,Fighting,speed,42
Clobbopus,Fighting,hp,50
Clobbopus,Fighting,attack,68
Clobbopus,Fighting,defense,60
Clobbopus,Fighting,sp_attack,50
Clobbopus,Fighting,sp_defense,50
Clobbopus,Fighting,speed,32
Centiskorch,Fire,hp,100
Centiskorch,Fire,attack,115
Centiskorch,Fire,defense,65
Centiskorch,Fire,sp_attack,90
Centiskorch,Fire,sp_defense,90
Centiskorch,Fire,speed,65
Sizzlipede,Fire,hp,50
Sizzlipede,Fire,attack,65
Sizzlipede,Fire,defense,45
Sizzlipede,Fire,sp_attack,50
Sizzlipede,Fire,sp_defense,50
Sizzlipede,Fire,speed,45
Toxtricity Amped Form,Electric,hp,75
Toxtricity Amped Form,Electric,attack,98
Toxtricity Amped Form,Electric,defense,70
Toxtricity Amped Form,Electric,sp_attack,114
Toxtricity Amped Form,Electric,sp_defense,70
Toxtricity Amped Form,Electric,speed,75
Toxtricity Low Key Form,Electric,hp,75
Toxtricity Low Key Form,Electric,attack,98
Toxtricity Low Key Form,Electric,defense,70
Toxtricity Low Key Form,Electric,sp_attack,114
Toxtricity Low Key Form,Electric,sp_defense,70
Toxtricity Low Key Form,Electric,speed,75
Toxel,Electric,hp,40
Toxel,Electric,attack,38
Toxel,Electric,defense,35
Toxel,Electric,sp_attack,54
Toxel,Electric,sp_defense,35
Toxel,Electric,speed,40
Barraskewda,Water,hp,61
Barraskewda,Water,attack,123
Barraskewda,Water,defense,60
Barraskewda,Water,sp_attack,60
Barraskewda,Water,sp_defense,50
Barraskewda,Water,speed,136
Arrokuda,Water,hp,41
Arrokuda,Water,attack,63
Arrokuda,Water,defense,40
Arrokuda,Water,sp_attack,40
Arrokuda,Water,sp_defense,30
Arrokuda,Water,speed,66
Cramorant,Flying,hp,70
Cramorant,Flying,attack,85
Cramorant,Flying,defense,55
Cramorant,Flying,sp_attack,85
Cramorant,Flying,sp_defense,95
Cramorant,Flying,speed,85
Sandaconda,Ground,hp,72
Sandaconda,Ground,attack,107
Sandaconda,Ground,defense,125
Sandaconda,Ground,sp_attack,65
Sandaconda,Ground,sp_defense,70
Sandaconda,Ground,speed,71
Silicobra,Ground,hp,52
Silicobra,Ground,attack,57
Silicobra,Ground,defense,75
Silicobra,Ground,sp_attack,35
Silicobra,Ground,sp_defense,50
Silicobra,Ground,speed,46
Appletun,Grass,hp,110
Appletun,Grass,attack,85
Appletun,Grass,defense,80
Appletun,Grass,sp_attack,100
Appletun,Grass,sp_defense,80
Appletun,Grass,speed,30
Flapple,Grass,hp,70
Flapple,Grass,attack,110
Flapple,Grass,defense,80
Flapple,Grass,sp_attack,95
Flapple,Grass,sp_defense,60
Flapple,Grass,speed,70
Applin,Grass,hp,40
Applin,Grass,attack,40
Applin,Grass,defense,80
Applin,Grass,sp_attack,40
Applin,Grass,sp_defense,40
Applin,Grass,speed,20
Coalossal,Rock,hp,110
Coalossal,Rock,attack,80
Coalossal,Rock,defense,120
Coalossal,Rock,sp_attack,80
Coalossal,Rock,sp_defense,90
Coalossal,Rock,speed,30
Carkol,Rock,hp,80
Carkol,Rock,attack,60
Carkol,Rock,defense,90
Carkol,Rock,sp_attack,60
Carkol,Rock,sp_defense,70
Carkol,Rock,speed,50
Rolycoly,Rock,hp,30
Rolycoly,Rock,attack,40
Rolycoly,Rock,defense,50
Rolycoly,Rock,sp_attack,40
Rolycoly,Rock,sp_defense,50
Rolycoly,Rock,speed,30
Boltund,Electric,hp,69
Boltund,Electric,attack,90
Boltund,Electric,defense,60
Boltund,Electric,sp_attack,90
Boltund,Electric,sp_defense,60
Boltund,Electric,speed,121
Yamper,Electric,hp,59
Yamper,Electric,attack,45
Yamper,Electric,defense,50
Yamper,Electric,sp_attack,40
Yamper,Electric,sp_defense,50
Yamper,Electric,speed,26
Drednaw,Water,hp,90
Drednaw,Water,attack,115
Drednaw,Water,defense,90
Drednaw,Water,sp_attack,48
Drednaw,Water,sp_defense,68
Drednaw,Water,speed,74
Chewtle,Water,hp,50
Chewtle,Water,attack,64
Chewtle,Water,defense,50
Chewtle,Water,sp_attack,38
Chewtle,Water,sp_defense,38
Chewtle,Water,speed,44
Dubwool,Normal,hp,72
Dubwool,Normal,attack,80
Dubwool,Normal,defense,100
Dubwool,Normal,sp_attack,60
Dubwool,Normal,sp_defense,90
Dubwool,Normal,speed,88
Wooloo,Normal,hp,42
Wooloo,Normal,attack,40
Wooloo,Normal,defense,55
Wooloo,Normal,sp_attack,40
Wooloo,Normal,sp_defense,45
Wooloo,Normal,speed,48
Eldegoss,Grass,hp,60
Eldegoss,Grass,attack,50
Eldegoss,Grass,defense,90
Eldegoss,Grass,sp_attack,80
Eldegoss,Grass,sp_defense,120
Eldegoss,Grass,speed,60
Gossifleur,Grass,hp,40
Gossifleur,Grass,attack,40
Gossifleur,Grass,defense,60
Gossifleur,Grass,sp_attack,40
Gossifleur,Grass,sp_defense,60
Gossifleur,Grass,speed,10
Thievul,Dark,hp,70
Thievul,Dark,attack,58
Thievul,Dark,defense,58
Thievul,Dark,sp_attack,87
Thievul,Dark,sp_defense,92
Thievul,Dark,speed,90
Nickit,Dark,hp,40
Nickit,Dark,attack,28
Nickit,Dark,defense,28
Nickit,Dark,sp_attack,47
Nickit,Dark,sp_defense,52
Nickit,Dark,speed,50
Orbeetle,Bug,hp,60
Orbeetle,Bug,attack,45
Orbeetle,Bug,defense,110
Orbeetle,Bug,sp_attack,80
Orbeetle,Bug,sp_defense,120
Orbeetle,Bug,speed,90
Dottler,Bug,hp,50
Dottler,Bug,attack,35
Dottler,Bug,defense,80
Dottler,Bug,sp_attack,50
Dottler,Bug,sp_defense,90
Dottler,Bug,speed,30
Blipbug,Bug,hp,25
Blipbug,Bug,attack,20
Blipbug,Bug,defense,20
Blipbug,Bug,sp_attack,25
Blipbug,Bug,sp_defense,45
Blipbug,Bug,speed,45
Corviknight,Flying,hp,98
Corviknight,Flying,attack,87
Corviknight,Flying,defense,105
Corviknight,Flying,sp_attack,53
Corviknight,Flying,sp_defense,85
Corviknight,Flying,speed,67
Corvisquire,Flying,hp,68
Corvisquire,Flying,attack,67
Corvisquire,Flying,defense,55
Corvisquire,Flying,sp_attack,43
Corvisquire,Flying,sp_defense,55
Corvisquire,Flying,speed,77
Rookidee,Flying,hp,38
Rookidee,Flying,attack,47
Rookidee,Flying,defense,35
Rookidee,Flying,sp_attack,33
Rookidee,Flying,sp_defense,35
Rookidee,Flying,speed,57
Greedent,Normal,hp,120
Greedent,Normal,attack,95
Greedent,Normal,defense,95
Greedent,Normal,sp_attack,55
Greedent,Normal,sp_defense,75
Greedent,Normal,speed,20
Skwovet,Normal,hp,70
Skwovet,Normal,attack,55
Skwovet,Normal,defense,55
Skwovet,Normal,sp_attack,35
Skwovet,Normal,sp_defense,35
Skwovet,Normal,speed,25
Inteleon,Water,hp,70
Inteleon,Water,attack,85
Inteleon,Water,defense,65
Inteleon,Water,sp_attack,125
Inteleon,Water,sp_defense,65
Inteleon,Water,speed,120
Drizzile,Water,hp,65
Drizzile,Water,attack,60
Drizzile,Water,defense,55
Drizzile,Water,sp_attack,95
Drizzile,Water,sp_defense,55
Drizzile,Water,speed,90
Sobble,Water,hp,50
Sobble,Water,attack,40
Sobble,Water,defense,40
Sobble,Water,sp_attack,70
Sobble,Water,sp_defense,40
Sobble,Water,speed,70
Cinderace,Fire,hp,80
Cinderace,Fire,attack,116
Cinderace,Fire,defense,75
Cinderace,Fire,sp_attack,65
Cinderace,Fire,sp_defense,75
Cinderace,Fire,speed,119
Raboot,Fire,hp,65
Raboot,Fire,attack,86
Raboot,Fire,defense,60
Raboot,Fire,sp_attack,55
Raboot,Fire,sp_defense,60
Raboot,Fire,speed,94
Scorbunny,Fire,hp,50
Scorbunny,Fire,attack,71
Scorbunny,Fire,defense,40
Scorbunny,Fire,sp_attack,40
Scorbunny,Fire,sp_defense,40
Scorbunny,Fire,speed,69
Rillaboom,Grass,hp,100
Rillaboom,Grass,attack,125
Rillaboom,Grass,defense,90
Rillaboom,Grass,sp_attack,60
Rillaboom,Grass,sp_defense,70
Rillaboom,Grass,speed,85
Thwackey,Grass,hp,70
Thwackey,Grass,attack,85
Thwackey,Grass,defense,70
Thwackey,Grass,sp_attack,55
Thwackey,Grass,sp_defense,60
Thwackey,Grass,speed,80
Grookey,Grass,hp,50
Grookey,Grass,attack,65
Grookey,Grass,defense,50
Grookey,Grass,sp_attack,40
Grookey,Grass,sp_defense,40
Grookey,Grass,speed,65
Melmetal,Steel,hp,135
Melmetal,Steel,attack,143
Melmetal,Steel,defense,143
Melmetal,Steel,sp_attack,80
Melmetal,Steel,sp_defense,65
Melmetal,Steel,speed,34
Meltan,Steel,hp,46
Meltan,Steel,attack,65
Meltan,Steel,defense,65
Meltan,Steel,sp_attack,55
Meltan,Steel,sp_defense,35
Meltan,Steel,speed,34
Zeraora,Electric,hp,88
Zeraora,Electric,attack,112
Zeraora,Electric,defense,75
Zeraora,Electric,sp_attack,102
Zeraora,Electric,sp_defense,80
Zeraora,Electric,speed,143
Blacephalon,Fire,hp,53
Blacephalon,Fire,attack,127
Blacephalon,Fire,defense,53
Blacephalon,Fire,sp_attack,151
Blacephalon,Fire,sp_defense,79
Blacephalon,Fire,speed,107
Stakataka,Rock,hp,61
Stakataka,Rock,attack,131
Stakataka,Rock,defense,211
Stakataka,Rock,sp_attack,53
Stakataka,Rock,sp_defense,101
Stakataka,Rock,speed,13
Naganadel,Poison,hp,73
Naganadel,Poison,attack,73
Naganadel,Poison,defense,73
Naganadel,Poison,sp_attack,127
Naganadel,Poison,sp_defense,73
Naganadel,Poison,speed,121
Poipole,Poison,hp,67
Poipole,Poison,attack,73
Poipole,Poison,defense,67
Poipole,Poison,sp_attack,73
Poipole,Poison,sp_defense,67
Poipole,Poison,speed,73
Marshadow,Fighting,hp,90
Marshadow,Fighting,attack,125
Marshadow,Fighting,defense,80
Marshadow,Fighting,sp_attack,90
Marshadow,Fighting,sp_defense,90
Marshadow,Fighting,speed,125
Magearna,Steel,hp,80
Magearna,Steel,attack,95
Magearna,Steel,defense,115
Magearna,Steel,sp_attack,130
Magearna,Steel,sp_defense,115
Magearna,Steel,speed,65
Ultra Necrozma,Psychic,hp,97
Ultra Necrozma,Psychic,attack,167
Ultra Necrozma,Psychic,defense,97
Ultra Necrozma,Psychic,sp_attack,167
Ultra Necrozma,Psychic,sp_defense,97
Ultra Necrozma,Psychic,speed,129
Dawn Wings Necrozma,Psychic,hp,97
Dawn Wings Necrozma,Psychic,attack,113
Dawn Wings Necrozma,Psychic,defense,109
Dawn Wings Necrozma,Psychic,sp_attack,157
Dawn Wings Necrozma,Psychic,sp_defense,127
Dawn Wings Necrozma,Psychic,speed,77
Dusk Mane Necrozma,Psychic,hp,97
Dusk Mane Necrozma,Psychic,attack,157
Dusk Mane Necrozma,Psychic,defense,127
Dusk Mane Necrozma,Psychic,sp_attack,113
Dusk Mane Necrozma,Psychic,sp_defense,109
Dusk Mane Necrozma,Psychic,speed,77
Necrozma,Psychic,hp,97
Necrozma,Psychic,attack,107
Necrozma,Psychic,defense,101
Necrozma,Psychic,sp_attack,127
Necrozma,Psychic,sp_defense,89
Necrozma,Psychic,speed,79
Guzzlord,Dark,hp,223
Guzzlord,Dark,attack,101
Guzzlord,Dark,defense,53
Guzzlord,Dark,sp_attack,97
Guzzlord,Dark,sp_defense,53
Guzzlord,Dark,speed,43
Kartana,Grass,hp,59
Kartana,Grass,attack,181
Kartana,Grass,defense,131
Kartana,Grass,sp_attack,59
Kartana,Grass,sp_defense,31
Kartana,Grass,speed,109
Celesteela,Steel,hp,97
Celesteela,Steel,attack,101
Celesteela,Steel,defense,103
Celesteela,Steel,sp_attack,107
Celesteela,Steel,sp_defense,101
Celesteela,Steel,speed,61
Xurkitree,Electric,hp,83
Xurkitree,Electric,attack,89
Xurkitree,Electric,defense,71
Xurkitree,Electric,sp_attack,173
Xurkitree,Electric,sp_defense,71
Xurkitree,Electric,speed,83
Pheromosa,Bug,hp,71
Pheromosa,Bug,attack,137
Pheromosa,Bug,defense,37
Pheromosa,Bug,sp_attack,137
Pheromosa,Bug,sp_defense,37
Pheromosa,Bug,speed,151
Buzzwole,Bug,hp,107
Buzzwole,Bug,attack,139
Buzzwole,Bug,defense,139
Buzzwole,Bug,sp_attack,53
Buzzwole,Bug,sp_defense,53
Buzzwole,Bug,speed,79
Nihilego,Rock,hp,109
Nihilego,Rock,attack,53
Nihilego,Rock,defense,47
Nihilego,Rock,sp_attack,127
Nihilego,Rock,sp_defense,131
Nihilego,Rock,speed,103
Lunala,Psychic,hp,137
Lunala,Psychic,attack,113
Lunala,Psychic,defense,89
Lunala,Psychic,sp_attack,137
Lunala,Psychic,sp_defense,107
Lunala,Psychic,speed,97
Solgaleo,Psychic,hp,137
Solgaleo,Psychic,attack,137
Solgaleo,Psychic,defense,107
Solgaleo,Psychic,sp_attack,113
Solgaleo,Psychic,sp_defense,89
Solgaleo,Psychic,speed,97
Cosmoem,Psychic,hp,43
Cosmoem,Psychic,attack,29
Cosmoem,Psychic,defense,131
Cosmoem,Psychic,sp_attack,29
Cosmoem,Psychic,sp_defense,131
Cosmoem,Psychic,speed,37
Cosmog,Psychic,hp,43
Cosmog,Psychic,attack,29
Cosmog,Psychic,defense,31
Cosmog,Psychic,sp_attack,29
Cosmog,Psychic,sp_defense,31
Cosmog,Psychic,speed,37
Tapu Fini,Water,hp,70
Tapu Fini,Water,attack,75
Tapu Fini,Water,defense,115
Tapu Fini,Water,sp_attack,95
Tapu Fini,Water,sp_defense,130
Tapu Fini,Water,speed,85
Tapu Bulu,Grass,hp,70
Tapu Bulu,Grass,attack,130
Tapu Bulu,Grass,defense,115
Tapu Bulu,Grass,sp_attack,85
Tapu Bulu,Grass,sp_defense,95
Tapu Bulu,Grass,speed,75
Tapu Lele,Psychic,hp,70
Tapu Lele,Psychic,attack,85
Tapu Lele,Psychic,defense,75
Tapu Lele,Psychic,sp_attack,130
Tapu Lele,Psychic,sp_defense,115
Tapu Lele,Psychic,speed,95
Tapu Koko,Electric,hp,70
Tapu Koko,Electric,attack,115
Tapu Koko,Electric,defense,85
Tapu Koko,Electric,sp_attack,95
Tapu Koko,Electric,sp_defense,75
Tapu Koko,Electric,speed,130
Kommo-o,Dragon,hp,75
Kommo-o,Dragon,attack,110
Kommo-o,Dragon,defense,125
Kommo-o,Dragon,sp_attack,100
Kommo-o,Dragon,sp_defense,105
Kommo-o,Dragon,speed,85
Hakamo-o,Dragon,hp,55
Hakamo-o,Dragon,attack,75
Hakamo-o,Dragon,defense,90
Hakamo-o,Dragon,sp_attack,65
Hakamo-o,Dragon,sp_defense,70
Hakamo-o,Dragon,speed,65
Jangmo-o,Dragon,hp,45
Jangmo-o,Dragon,attack,55
Jangmo-o,Dragon,defense,65
Jangmo-o,Dragon,sp_attack,45
Jangmo-o,Dragon,sp_defense,45
Jangmo-o,Dragon,speed,45
Dhelmise,Ghost,hp,70
Dhelmise,Ghost,attack,131
Dhelmise,Ghost,defense,100
Dhelmise,Ghost,sp_attack,86
Dhelmise,Ghost,sp_defense,90
Dhelmise,Ghost,speed,40
Drampa,Normal,hp,78
Drampa,Normal,attack,60
Drampa,Normal,defense,85
Drampa,Normal,sp_attack,135
Drampa,Normal,sp_defense,91
Drampa,Normal,speed,36
Bruxish,Water,hp,68
Bruxish,Water,attack,105
Bruxish,Water,defense,70
Bruxish,Water,sp_attack,70
Bruxish,Water,sp_defense,70
Bruxish,Water,speed,92
Mimikyu,Ghost,hp,55
Mimikyu,Ghost,attack,90
Mimikyu,Ghost,defense,80
Mimikyu,Ghost,sp_attack,50
Mimikyu,Ghost,sp_defense,105
Mimikyu,Ghost,speed,96
Togedemaru,Electric,hp,65
Togedemaru,Electric,attack,98
Togedemaru,Electric,defense,63
Togedemaru,Electric,sp_attack,40
Togedemaru,Electric,sp_defense,73
Togedemaru,Electric,speed,96
Turtonator,Fire,hp,60
Turtonator,Fire,attack,78
Turtonator,Fire,defense,135
Turtonator,Fire,sp_attack,91
Turtonator,Fire,sp_defense,85
Turtonator,Fire,speed,36
Komala,Normal,hp,65
Komala,Normal,attack,115
Komala,Normal,defense,65
Komala,Normal,sp_attack,75
Komala,Normal,sp_defense,95
Komala,Normal,speed,65
Minior Core Form,Rock,hp,60
Minior Core Form,Rock,attack,100
Minior Core Form,Rock,defense,60
Minior Core Form,Rock,sp_attack,100
Minior Core Form,Rock,sp_defense,60
Minior Core Form,Rock,speed,120
Minior Meteor Form,Rock,hp,60
Minior Meteor Form,Rock,attack,60
Minior Meteor Form,Rock,defense,100
Minior Meteor Form,Rock,sp_attack,60
Minior Meteor Form,Rock,sp_defense,100
Minior Meteor Form,Rock,speed,60
Silvally,Normal,hp,95
Silvally,Normal,attack,95
Silvally,Normal,defense,95
Silvally,Normal,sp_attack,95
Silvally,Normal,sp_defense,95
Silvally,Normal,speed,95
Type: Null,Normal,hp,95
Type: Null,Normal,attack,95
Type: Null,Normal,defense,95
Type: Null,Normal,sp_attack,95
Type: Null,Normal,sp_defense,95
Type: Null,Normal,speed,59
Pyukumuku,Water,hp,55
Pyukumuku,Water,attack,60
Pyukumuku,Water,defense,130
Pyukumuku,Water,sp_attack,30
Pyukumuku,Water,sp_defense,130
Pyukumuku,Water,speed,5
Palossand,Ghost,hp,85
Palossand,Ghost,attack,75
Palossand,Ghost,defense,110
Palossand,Ghost,sp_attack,100
Palossand,Ghost,sp_defense,75
Palossand,Ghost,speed,35
Sandygast,Ghost,hp,55
Sandygast,Ghost,attack,55
Sandygast,Ghost,defense,80
Sandygast,Ghost,sp_attack,70
Sandygast,Ghost,sp_defense,45
Sandygast,Ghost,speed,15
Golisopod,Bug,hp,75
Golisopod,Bug,attack,125
Golisopod,Bug,defense,140
Golisopod,Bug,sp_attack,60
Golisopod,Bug,sp_defense,90
Golisopod,Bug,speed,40
